id	x	y	z
286259	-134.16993013434302	-5.214704598463754	-134.11536332333935
286261	-134.16993013434302	-5.214704598463754	-127.37736332333935
286263	-134.16993013434302	-5.214704598463754	-120.63936332333935
286265	-134.16993013434302	-5.214704598463754	-113.90136332333935
286267	-134.16993013434302	-5.214704598463754	-107.16336332333935
286269	-134.16993013434302	-5.214704598463754	-100.42536332333935
286271	-134.16993013434302	-5.214704598463754	-93.68736332333935
286273	-134.16993013434302	-5.214704598463754	-86.94936332333936
286275	-134.16993013434302	-5.214704598463754	-80.21136332333936
286277	-134.16993013434302	-5.214704598463754	-73.47336332333936
286279	-134.16993013434302	-5.214704598463754	-66.73536332333936
286281	-134.16993013434302	-5.214704598463754	-59.99736332333936
286283	-134.16993013434302	-5.214704598463754	-53.25936332333936
286285	-134.16993013434302	-5.214704598463754	-46.52136332333936
286287	-134.16993013434302	-5.214704598463754	-39.78336332333936
286289	-134.16993013434302	-5.214704598463754	-33.04536332333936
286291	-134.16993013434302	-5.214704598463754	-26.30736332333936
286293	-134.16993013434302	-5.214704598463754	-19.56936332333936
286295	-134.16993013434302	-5.214704598463754	-12.83136332333936
286297	-134.16993013434302	-5.214704598463754	-6.093363323339361
286299	-134.16993013434302	-5.214704598463754	0.6446366766606388
286301	-134.16993013434302	-5.214704598463754	7.382636676660638
286303	-134.16993013434302	-5.214704598463754	14.120636676660638
286305	-134.16993013434302	-5.214704598463754	20.858636676660637
286307	-134.16993013434302	-5.214704598463754	27.596636676660637
286309	-134.16993013434302	-5.214704598463754	34.33463667666064
286311	-134.16993013434302	-5.214704598463754	41.072636676660636
286313	-134.16993013434302	-5.214704598463754	47.810636676660636
286315	-134.16993013434302	-5.214704598463754	54.54863667666069
286317	-134.16993013434302	-5.214704598463754	61.286636676660635
286319	-134.16993013434302	-5.214704598463754	68.02463667666069
286321	-134.16993013434302	-5.214704598463754	74.76263667666063
286323	-134.16993013434302	-5.214704598463754	81.50063667666069
286325	-134.16993013434302	-5.214704598463754	88.23863667666063
286327	-134.16993013434302	-5.214704598463754	94.97663667666069
286329	-134.16993013434302	-5.214704598463754	101.71463667666063
286331	-134.16993013434302	-5.214704598463754	108.45263667666069
286333	-134.16993013434302	-5.214704598463754	115.19063667666063
286335	-134.16993013434302	-5.214704598463754	121.92863667666069
286337	-134.16993013434302	-5.214704598463754	128.66663667666063
286339	-134.16993013434302	-5.214704598463754	135.4046366766607
286539	-134.16993013434302	3.8722954015362347	-134.11536332333935
286540	-138.713430134343	-0.6712045984637598	-130.74636332333938
286541	-134.16993013434302	3.8722954015362347	-127.37736332333935
286542	-138.713430134343	-0.6712045984637598	-124.00836332333938
286543	-134.16993013434302	3.8722954015362347	-120.63936332333935
286544	-138.713430134343	-0.6712045984637598	-117.27036332333938
286545	-134.16993013434302	3.8722954015362347	-113.90136332333935
