frame,step,time_s,time_kappa,energy_eV,n_atoms,surface_sites,surface_area_A2,gamma_eV_A2,gamma_mJ_m2,spherical_surface_area_A2,gamma_spherical_mJ_m2
42,42000,0.00000142363,4.284161733979348,-14980.4,15572,4415,184008.23126531608,0.006092379630472044,97.61068289399863,128511.43287582474,139.76320012927926
43,43000,0.00000145309,4.372816373656112,-15185.1,15808,4517,188259.38406012068,0.006163687434722693,98.75315987192099,129806.60379603317,143.222367027575
44,44000,0.00000148472,4.468001243071456,-15379.3,15994,4537,189092.943431651,0.006126595625281752,98.15888356793043,130822.83722201375,141.8800617076158
45,45000,0.00000151569,4.561199959663085,-15530.4,16124,4511,188009.31624866158,0.006073188407801197,97.3032056085874,131530.7698952561,139.08463525182526
46,46000,0.00000154555,4.651058328323919,-15710.8,16314,4548,189551.40108599266,0.00610850668138672,97.86906673550686,132562.02851169044,139.94368471102447
47,47000,0.00000157467,4.7386897983642235,-15895,16524,4662,194302.68950371543,0.006128664523592342,98.19203097324392,133697.1942801399,142.70288773567418
48,48000,0.0000016042,4.8275550906132,-16095.5,16716,4682,195136.24887524574,0.006092379077964398,97.61067404185023,134730.85863222563,141.37355744688412
49,49000,0.00000163329,4.915096280979699,-16272.8,16894,4715,196511.62183827074,0.006084098176055857,97.47799936638712,135685.6217687368,141.17604724314478
50,50000,0.00000166312,5.004864369966728,-16420,17002,4638,193302.41825787906,0.006001311367209006,96.15160845900863,136263.28160630105,136.40019684988744
51,51000,0.00000169202,5.091833789065793,-16604.4,17188,4651,193844.23184937375,0.006025415297926348,96.53779600483743,137255.28183306268,136.33934272743966
52,52000,0.0000017227,5.184159802143972,-16741.3,17316,4657,194094.29966083285,0.005994220345641485,96.03799776834191,137935.87069801753,135.13836410605887
53,53000,0.00000175501,5.281391010832235,-16871.5,17420,4570,190468.316394676,0.00598934259300192,95.95984755528649,138487.6150985501,131.9779432430744
54,54000,0.00000178771,5.379795855279967,-17008.6,17556,4604,191885.3673262775,0.005963477131918325,95.54543718152877,139207.47324429045,131.70105657872338
55,55000,0.00000181997,5.476876597845222,-17157.3,17706,4631,193010.67247784344,0.005961867212975469,95.51964343639997,139999.28224866596,131.68860810126804
56,56000,0.00000185042,5.56851046675756,-17251.8,17776,4577,190760.0621747116,0.005916248858035941,94.78875681274367,140368.02744950348,128.81786167129442
57,57000,0.00000188269,5.665621302547416,-17396,17928,4592,191385.23170335934,0.005964681756476209,95.56473739472261,141167.06916871277,129.56052368772467
58,58000,0.0000019144,5.7610469177595744,-17563.4,18092,4605,191927.04529485403,0.005959180991104774,95.47660541725031,142026.66477599344,129.02184812561254
59,59000,0.00000194401,5.850152955805364,-17691.8,18218,4608,192052.0792005836,0.005965111155102349,95.57161711917733,142685.3224531771,128.6378126686667
60,60000,0.00000197601,5.9464512745309746,-17870.6,18420,4696,195719.74043531695,0.006006956668678745,96.24205616007565,143738.10660012212,131.0471571955102
61,61000,0.00000200626,6.037483278951276,-18038.8,18592,4741,197595.24902126016,0.005998767712641039,96.11085461987099,144631.5064308796,131.30644021422464
62,62000,0.00000203705,6.130140317500073,-18196.6,18756,4782,199304.0457328973,0.006006420971525758,96.23347334546148,145480.79040096916,131.83679109672775
63,63000,0.00000206641,6.218494024930821,-18326,18872,4737,197428.5371469541,0.006015584257284884,96.38028536880086,146080.00928561518,130.2588823975526
64,64000,0.00000209616,6.308021368121036,-18474.2,19026,4781,199262.36776432078,0.006015606526455384,96.38064216024719,146873.63073473706,130.75890387827388
65,65000,0.00000212493,6.394599575300279,-18620.7,19172,4811,200512.70682161624,0.0060003578779192655,96.13633187640072,147624.05008869793,130.57869714898268
66,66000,0.00000215591,6.487828385116509,-18768.6,19320,4842,201804.72384748823,0.005987372232738948,95.92827890354752,148382.807490395,130.46511358499777
67,67000,0.00000218474,6.574587151643362,-18883.8,19408,4775,199012.29995286168,0.005949742806250976,95.32538902484903,148833.04194191901,127.4644706995893
68,68000,0.00000221465,6.664595986427206,-19062,19606,4828,201221.232287417,0.0060162836010805125,96.39149009168574,149843.58952495558,129.4417364116805
69,69000,0.00000224477,6.755236778927686,-19186.8,19718,4821,200929.4865073814,0.005980267112044096,95.81444231995711,150413.70561305684,127.99330098858296
70,70000,0.0000022727,6.83928715524038,-19318.3,19844,4850,202138.14759610035,0.005938493125991023,95.14514927632435,151053.79756580855,127.32195110216793
71,71000,0.00000230159,6.926226481114845,-19455.9,19990,4887,203680.23243343143,0.005959144809974086,95.4760257316285,151793.799560388,128.1118146403731
72,72000,0.00000233192,7.017499231331962,-19594.7,20120,4858,202471.57134471246,0.005973085465618302,95.69937965898654,152451.1904961161,127.09906503985523
73,73000,0.00000236108,7.105251074270673,-19696.2,20208,4827,201179.5543188405,0.005959213917433978,95.47713295520326,152895.39010576316,125.62868666139366
74,74000,0.00000239067,7.19429692586726,-19839.2,20356,4876,203221.77477908976,0.005948693250583634,95.30857328918606,153641.0019432302,126.06515949855647
75,75000,0.0000024211,7.285870608330394,-20009.1,20546,4934,205639.09695652765,0.0060079236793243755,96.25754937868824,154595.56294850275,128.039350884058
76,76000,0.00000244938,7.370974247504152,-20100.1,20616,4887,203680.23243343143,0.005974286190967013,95.7186173999621,154946.50080489568,125.82401111968176
77,77000,0.00000247895,7.459959912651535,-20243.9,20774,4936,205722.4528936807,0.006010116944497978,96.29268936082136,155737.16120700393,127.19872442458843
78,78000,0.00000250861,7.549216416820333,-20379.7,20892,4943,206014.19867371628,0.005934678327372909,95.08402946423077,156326.34741334917,125.30619732927245
79,79000,0.0000025385,7.639165065154973,-20510.8,21026,4984,207722.99538535342,0.005921751694934089,94.87692197973293,156994.07991832573,125.53415031207236
80,80000,0.00000256794,7.727759518382533,-20610.4,21110,4973,207264.53773101175,0.00587336364110616,94.1016598876545,157411.93519182494,123.90380063981657
81,81000,0.000002597,7.815210429075227,-20742.2,21242,4997,208264.80897684814,0.0058676643740414435,94.01034756243438,158067.44698756773,123.86514396273776
82,82000,0.00000262722,7.906152153821726,-20862.4,21344,4925,205263.995239339,0.005881674468005382,94.23481401432603,158573.04921873307,121.9817271000142
83,83000,0.00000265668,7.99480679349849,-20984.7,21462,4941,205930.84273656327,0.005861229837941589,93.9072549285362,159156.95791691777,121.50521346736012
84,84000,0.00000268676,8.08532721310056,-21090.8,21548,4881,203430.16462197233,0.005848847451954966,93.70886723352685,159581.84449062133,119.45726250190863
85,85000,0.00000271813,8.17972965867626,-21203.9,21660,4880,203388.4866533958,0.005863360407574427,93.94139041736464,160134.33873669614,119.31605289556283
86,86000,0.00000274737,8.267722247411786,-21347.8,21810,4887,203680.23243343143,0.005909950050716967,94.68783879365839,160872.79708416935,119.88379243521877
87,87000,0.0000027775,8.358393133136868,-21494.2,21956,4911,204680.5036792678,0.005903366360156118,94.5823564418376,161589.93910470465,119.80426790769009
88,88000,0.0000028084,8.451381197156284,-21592.7,22056,4925,205263.995239339,0.005910456914693678,94.69595964985942,162080.21518656865,119.92624138843169
89,89000,0.00000283776,8.53973490458703,-21715.5,22172,4919,205013.9274278799,0.005903735493413147,94.58827060863005,162648.00816679455,119.2262546873618
90,90000,0.00000286839,8.6319104515422,-21850.3,22298,4889,203763.58837058445,0.005917799198780097,94.81359600989393,163263.6280936173,118.33351233758478
91,91000,0.00000289918,8.724567490090996,-21978.8,22426,4886,203638.5544648549,0.005940348590565031,95.17487709618125,163887.8336002214,118.25938489439154
92,92000,0.00000292886,8.813884180709,-22066.6,22508,4878,203305.13071624277,0.005935275690037453,95.09360026926234,164287.0911843573,117.67824662088437
93,93000,0.0000029598,8.906992617626823,-22155.2,22588,4888,203721.91040200792,0.005894270270833697,94.436621024106,164676.14378525078,116.82814768865401
94,94000,0.00000298995,8.997723689801107,-22250.5,22670,4855,202346.53743898292,0.005882383830555679,94.24617925535723,165074.44632958478,115.52598517337827
95,95000,0.00000302097,9.091072872515745,-22367,22790,4844,201888.07978464125,0.005933287400017802,95.06174435115133,165656.46364015568,115.85320974689843
96,96000,0.00000305224,9.185174385845427,-22467.4,22880,4808,200387.67291588668,0.005941084013185405,95.18665986556604,166092.3064367308,114.84116075155302
97,97000,0.00000308244,9.276055924142721,-22598.1,23018,4829,201262.9102559935,0.005974831619350452,95.72735612607676,166759.49055341692,115.53385190316745
98,98000,0.00000311089,9.361671148134707,-22720.1,23148,4856,202388.21540755944,0.006002977977514305,96.17831049989998,167386.77872787765,116.28969008737491
99,99000,0.00000313975,9.448520194335366,-22819,23238,4854,202304.8594704064,0.0059765840680503736,95.75543344966975,167820.36737072316,115.43169527671266
100,100000,0.0000031705,9.541056859985757,-22934,23360,4898,204138.69008777308,0.005977504800659481,95.77018521239448,168407.22830527343,116.09002983697603
101,101000,0.00000320189,9.635519492010658,-23065.2,23504,4937,205764.1308622572,0.006016286681320087,96.39153944256448,169098.6037005331,117.29204678117479
102,102000,0.00000323146,9.724505157158042,-23175.1,23606,4934,205639.09695652765,0.0059983924178618865,96.10484173461079,169587.47386117064,116.53521582398169
103,103000,0.00000326123,9.81409268679746,-23308,23744,4955,206514.33429663448,0.006020385966109975,96.45721722562918,170247.76723731318,117.0047532881292
104,104000,0.00000329207,9.906900191469266,-23410.6,23840,4959,206681.04617094054,0.005999389024644592,96.12080913561616,170706.34742784372,116.37733271367546
105,105000,0.00000331974,9.990168143942316,-23559.1,24012,5039,210015.28365706178,0.006043883939764497,96.8336962689854,171526.43407353997,118.56222802820976
106,106000,0.00000334808,10.075452342463684,-23675.6,24120,5043,210181.99553136784,0.006016119491125921,96.3888607603392,172040.3714345548,117.75842456437601
107,107000,0.00000337577,10.158780481385937,-23743.9,24170,5010,208806.62256834283,0.0059762472312944355,95.75003672987138,172278.04554606104,116.0521743614379
108,108000,0.00000340815,10.256222342646414,-23839.7,24260,5002,208473.19881973072,0.00597266222732394,95.69259863392813,172705.44638755842,115.51078763214227
109,109000,0.0000034379,10.34574968583663,-23977.3,24410,5050,210473.74131140346,0.005999038132419007,96.11518722236731,173416.60863093205,116.65389613627414
110,110000,0.00000346589,10.429980621496934,-24115.1,24560,5099,212515.9617716527,0.006022794661303094,96.49580877719761,174126.3156518555,117.77024932992153
111,111000,0.00000349533,10.518575074724497,-24227.7,24658,5087,212015.82614873452,0.005983855182159811,95.87192954096264,174589.21061799116,116.42395468855999
112,112000,0.0000035249,10.607560739871879,-24327.9,24758,5087,212015.82614873452,0.005998948395049286,96.11374947119768,175060.92072065308,116.40311221089327
113,113000,0.0000035554,10.699345074907225,-24439.3,24860,5061,210932.19896574513,0.006001644159626799,96.15694038136624,175541.41121258994,115.54307750150386
114,114000,0.00000358382,10.784870019225407,-24580.1,25012,5123,213516.23301748908,0.00600566983539358,96.2214388178622,176256.2188769953,116.56235043967698
115,115000,0.00000361172,10.868830115864299,-24661.9,25080,5112,213057.7753631474,0.0059646731870448945,95.56460009729642,176575.53223725923,115.30918719157887
116,116000,0.00000364112,10.957304196193451,-24789,25218,5149,214599.8602004785,0.005994468024341853,96.0419660186066,177222.66491673444,116.2977234918326
117,117000,0.00000366871,11.040331402869688,-24865.1,25284,5143,214349.7923890194,0.005964811002380508,95.56680814240168,177531.7457255182,115.38626740186781
118,118000,0.00000369844,11.129798559610698,-24979.2,25398,5159,215016.63988624365,0.0059638733108210926,95.55178466733774,178064.97994026096,115.38048459162253
119,119000,0.0000037303,11.225675573191884,-25072,25474,5116,213224.4872374535,0.0059473281724335345,95.28670232602931,178420.02622198887,113.87431486382945
120,120000,0.00000375933,11.313036204210773,-25193.9,25596,5113,213099.45333172393,0.005970752060162991,95.66199438200506,178989.23156800107,113.89243100740906
121,121000,0.0000037871,11.39660508892984,-25309.8,25714,5138,214141.40254613681,0.005970242021388435,95.65382265993479,179538.9147057363,114.0891587590923
122,122000,0.00000381566,11.482551338392447,-25428.5,25834,5151,214683.21613763153,0.005980234613109816,95.81392162962577,180097.05287365426,114.21420016593783
123,123000,0.00000384392,11.567594791117001,-25512.5,25904,5117,213266.16520602998,0.005965484486350341,95.57759854520009,180422.23434775195,112.97647429666826
124,124000,0.00000387328,11.655948498547748,-25605.7,26002,5131,213849.65676610122,0.005987234299844612,95.92606897494387,180876.99677757276,113.41274617932308
125,125000,0.00000390202,11.742436426053183,-25689.4,26076,5133,213933.01270325424,0.005951320854654772,95.35067214764786,181220.01031551897,112.56293673259833
126,126000,0.0000039303,11.827540065226943,-25730.6,26104,5121,213432.87708033607,0.005907880815969067,94.65468599802495,181349.7145807346,111.400351571551
127,127000,0.00000395953,11.915502560737867,-25857.5,26246,5163,215183.3517605497,0.005952430750429581,95.36845463841361,182006.78804364952,112.75240853322566
128,128000,0.00000398719,11.998740419986314,-25943.3,26326,5157,214933.2839490906,0.005945026179857099,95.24982033885325,182376.4483369731,112.25329184590916
129,129000,0.00000401545,12.083783872710868,-26041.6,26424,5160,215058.31785482017,0.005955668270708997,95.42032543185141,182828.77231168922,112.24127590568231
130,130000,0.00000404468,12.171746368221791,-26152.1,26536,5190,216308.65691211564,0.005945781451190577,95.26192111968155,183345.02986216883,112.3890744557239
131,131000,0.00000407482,12.262447347171474,-26226.3,26596,5157,214933.2839490906,0.005927253222919875,94.96506617563416,183621.29758339626,111.15896577466195
132,132000,0.00000410327,12.34806257116346,-26337.2,26716,5184,216058.58910065654,0.005957384084371442,95.44781579743409,184173.21062855845,111.97242174120629
133,133000,0.00000413149,12.43298565098961,-26426.9,26806,5208,217058.8603464929,0.005945410373665274,95.2559758022771,184586.60325998103,112.01329448440005
134,134000,0.00000415933,12.516765188280887,-26521.9,26914,5247,218684.301120977,0.005977456970159301,95.76941888329667,185082.064242519,113.15666119766846
135,135000,0.00000418776,12.60232022582367,-26643.1,27044,5298,220809.8775183793,0.005979786841239004,95.806747533338,185677.57439032293,113.93447085752754
136,136000,0.00000421623,12.687995636264862,-26726.9,27114,5276,219892.96220969595,0.005952787150830791,95.37416480236527,185997.8383949504,112.7545771372641
137,137000,0.00000424445,12.772918716091008,-26846,27240,5304,221059.9453298384,0.00597195479276094,95.6812642826589,186573.62000531217,113.36701861073486
138,138000,0.00000427414,12.862265499933612,-26948.2,27342,5307,221184.97923556794,0.005983353863240928,95.86389752638246,187039.0789470661,113.36483425377838
139,139000,0.00000430283,12.948602961316043,-27034.1,27414,5297,220768.19954980278,0.005942776190934309,95.21377154206472,187367.28976327615,112.18699348346884
140,140000,0.00000433099,13.033345481794578,-27167.9,27556,5339,222518.67423001645,0.00595457439509257,95.40279961232,188013.75358021437,112.91144441998628
141,141000,0.00000435839,13.11580091720338,-27264.4,27666,5395,224852.64047030132,0.0059694384606405505,95.64094819739219,188513.77239265514,114.07718102672068
142,142000,0.0000043861,13.199189242574839,-27374.1,27768,5409,225436.13203037254,0.005935215388719209,95.09263413563144,188976.8343646166,113.43885453575982
143,143000,0.00000441371,13.282276635700278,-27444.2,27838,5412,225561.16593610207,0.005942033480974668,95.20187201663298,189294.29395234567,113.44158771514414
144,144000,0.00000444086,13.363979740494036,-27545.3,27930,5409,225436.13203037254,0.005918838244706191,94.83024336093834,189711.12219145786,112.68798062990663
145,145000,0.00000446813,13.446043963983017,-27642,28040,5454,227311.64061631574,0.005944966110560922,95.2488579226257,190208.90353530567,113.82839477439931
146,146000,0.00000449499,13.526874365263327,-27729.9,28128,5467,227853.45420781043,0.0059443996787720095,95.2397826848562,190606.66008508255,113.85076184147493
147,147000,0.0000045238,13.613572945340975,-27826.3,28220,5473,228103.52201926953,0.005932306472171384,95.04602815439962,191022.05322481817,113.49649639900547
148,148000,0.00000455117,13.695938101075974,-27890.3,28272,5452,227228.2846791627,0.00591012691001998,94.69067239208633,191256.64095660896,112.5001409370764
149,149000,0.00000458059,13.784472367854331,-27986.6,28364,5466,227811.7762392339,0.005889844775148722,94.36571676630267,191671.32879275264,112.15877558747702
150,150000,0.00000460707,13.864159226599773,-28092.6,28474,5483,228520.30170503468,0.005905453432062711,94.61579502025982,192166.56317118148,112.51504771322261
151,151000,0.00000463501,13.94823969613707,-28182.3,28556,5487,228687.01357934074,0.005879669242930166,94.20268676671182,192535.32308409418,111.89079885575097
152,152000,0.00000466174,14.028678885497555,-28296.7,28678,5516,229895.67466805968,0.00589985871616941,94.52615778947867,193083.31336064055,112.54807285289466
153,153000,0.00000469096,14.116611287783877,-28421.2,28810,5556,231562.7934111203,0.005909153106348253,94.67507033719687,193675.34639863606,113.195737926043
154,154000,0.00000471959,14.202768189818695,-28548.1,28948,5601,233438.3019970635,0.005929326884914597,94.99828990358174,194293.32408862186,114.13793856139796
155,155000,0.0000047474,14.28645744743617,-28630.2,29020,5589,232938.16637414534,0.0059092076726881115,94.67594458634412,194615.35731454825,113.31911949805104
156,156000,0.00000477498,14.369454560887807,-28685.3,29050,5547,231187.69169393167,0.005849792392020756,93.72400684246622,194749.45920391032,111.26006144915118
157,157000,0.00000480163,14.449653004451477,-28782,29148,5546,231146.01372535515,0.005870886450208949,94.06197091391982,195187.20406417322,111.39075291408224
158,158000,0.00000482993,14.534816830074437,-28874.7,29246,5580,232563.06465695667,0.005872230837749022,94.08351037695728,195624.45860994174,111.84874152458255
159,159000,0.00000485789,14.618957486060937,-28955.2,29318,5566,231979.57309688546,0.005860912587472363,93.90217201564701,195945.39567480364,111.17069478484915
160,160000,0.00000488499,14.70051012473169,-29035.3,29388,5554,231479.4374739673,0.0058402250098436356,93.57072048073893,196257.16603954174,110.36385665811204
161,161000,0.00000491267,14.78380817042934,-29127.8,29494,5588,232896.48840556882,0.005878130706788573,94.17803670014557,196728.8046602177,111.49223455242243
162,162000,0.0000049405,14.86755761449602,-29196.4,29552,5575,232354.6748140741,0.0058547046711607586,93.80271023104422,196986.63188418854,110.64455503369896
163,163000,0.00000496686,14.946883354546241,-29334.9,29706,5609,233771.72574567565,0.005907917202538542,94.65526897513897,197670.39056060728,111.9425398841149
164,164000,0.00000499306,15.025727603002833,-29442.1,29814,5636,234897.03089724155,0.0058986526764833284,94.5068349034315,198149.2048792903,112.03363108035383
165,165000,0.00000501971,15.105926046566504,-29547.6,29930,5675,236522.47167172565,0.005919183873332426,94.8357809420283,198662.84340070828,112.90885063032825
166,166000,0.00000504616,15.18552262563814,-29600.8,29968,5642,235147.09870870065,0.005894659162761397,94.44285175970313,198830.9599282752,111.6926790127716
167,167000,0.00000507403,15.269392442603225,-29697.5,30058,5646,235313.8105830067,0.005875014290809489,94.12810621151044,199228.84748346114,111.17688846456457
168,168000,0.00000510035,15.34859780975504,-29788.6,30142,5623,234355.21730574686,0.005880935853891937,94.22298011158499,199599.8510577319,110.6295764362004
169,169000,0.00000512597,15.425696651184731,-29909.4,30276,5675,236522.47167172565,0.005902119955593543,94.56238683917091,200190.977541368,111.72396347261339
170,170000,0.00000515148,15.502464467143803,-30008.2,30378,5720,238397.98025766885,0.005883657229327055,94.26658135292988,200640.3550744624,112.00619432712557
171,171000,0.00000517986,15.587869038563577,-30042.1,30390,5677,236605.8276088787,0.0058373879204832195,93.52526529792064,200693.18992805647,110.26095507319914
172,172000,0.0000052072,15.670143914624768,-30087.4,30424,5641,235105.42074012413,0.005831494636252834,93.4308444750062,200842.85092913502,109.36957874667844
173,173000,0.00000523473,15.752990561953393,-30191.6,30536,5679,236689.18354603174,0.005841517467278382,93.59142793176284,201335.4580897576,110.02571963355095
174,174000,0.00000526119,15.832617234249632,-30262,30596,5643,235188.77667727717,0.005843238012525341,93.61899410568701,201599.10700487526,109.21743168704256
175,175000,0.00000528718,15.91082952498959,-30345.5,30672,5628,234563.60714862944,0.005837853606729048,93.53272641413905,201932.81502878637,108.64689669689791
176,176000,0.00000531551,15.996083630286355,-30417.2,30746,5628,234563.60714862944,0.005858385351011728,93.86168122358879,202257.47652450082,108.8539959024593
177,177000,0.00000534285,16.07835850634755,-30528.5,30872,5680,236730.86151460823,0.0058849445783562635,94.28720695827387,202809.67989830402,110.05732933571379
178,178000,0.00000536943,16.15834629733901,-30556.1,30876,5635,234855.35292866503,0.005832032282508923,93.43945851769485,202827.19784773552,108.19435085875779
179,179000,0.00000539705,16.24146378368905,-30631.2,30952,5648,235397.16652015975,0.005833409213455428,93.46151938358605,203159.89530641938,108.29192842604294
180,180000,0.00000542554,16.327199380579444,-30728.5,31064,5687,237022.60729464385,0.005871490554780713,94.07164973621354,203649.6904251166,109.48755996849714
181,181000,0.00000545346,16.411219663667538,-30814.7,31154,5700,237564.42088613854,0.0058869758139006,94.31975093954674,204042.84934801635,109.81525244171011
182,182000,0.00000547913,16.488468971220236,-30874.4,31200,5695,237356.03104325596,0.005841014420009994,93.58336822597074,204243.65101708478,108.75528685059544
183,183000,0.00000550575,16.5685771351101,-30937.8,31254,5679,236689.18354603174,0.005825513356134605,93.33501380253786,204479.24883999318,108.03731106459118
184,184000,0.00000553346,16.65196546048156,-31072.7,31420,5742,239314.8955663522,0.005915135356075316,94.77091654451141,205202.64591990478,110.52533895898095
185,185000,0.00000556016,16.73231437016824,-31129.8,31450,5693,237272.67510610295,0.0058561315557244305,93.82557144211752,205333.2442680831,108.42006811310307
186,186000,0.00000558599,16.810045169314566,-31203,31522,5699,237522.74291756205,0.005855220358762411,93.81097245730231,205646.5110061393,108.35213972172427
187,187000,0.0000056126,16.890123239979832,-31283.6,31606,5724,238564.69213197494,0.005855870738940583,93.82139269654917,206011.68757880808,108.64661091368005
